Role,Territory,Primary Agreement,Subsequent Agreements,Local Agreements,Region
Conductor,Vancouver,TCRC_West_Agreement_4_3_EN.pdf,,VancouverLocals.pdf,West
Conductor,Williams Lake,TCRC_BCRail_Agreement.pdf,,BCRLocals.pdf,West
Conductor,Windsor,TCRC_East_Agreement_4_16_EN.pdf,TCRC_East_Addenda_4_16_EN.pdf,,East
Conductor,Winnipeg,TCRC_West_Agreement_4_3_EN.pdf,,WinnipegLocals.pdf,West
Engineer,Aldershot,TCRC_Locom_Eng_East_Agreement_1-1_EN.pdf,,AldershotLocals.pdf,East
Engineer,Belleville,TCRC_Locom_Eng_East_Agreement_1-1_EN.pdf,,BellevilleLocals.pdf,East
Engineer,Brandon,TCRC_Locom_Eng_West_Agreement_1-2_EN.pdf,,,West
Engineer,Calgary,TCRC_Locom_Eng_West_Agreement_1-2_EN.pdf,,CalgaryLocals.pdf,West
Engineer,Campbellton,TCRC_Transp_Employees_NBET_QET_EN.pdf,TCRC_Locom_Eng_East_Agreement_1-1_EN.pdf,,East
Engineer,Canora,TCRC_Locom_Eng_West_Agreement_1-2_EN.pdf,,,West
Engineer,Capreol,TCRC_Locom_Eng_East_Agreement_1-1_EN.pdf,,CapreolLocals.pdf,East
Engineer,Chambord,TCRC_Locom_Eng_NQT_EN.pdf,,,East
Engineer,Chetwynd,TCRC_Locom_Eng_BCRail_Agreement_EN.pdf,,BCRLocals.pdf,West
Engineer,Dauphin,TCRC_Locom_Eng_West_Agreement_1-2_EN.pdf,,,West
Engineer,Edmonton,TCRC_Locom_Eng_West_Agreement_1-2_EN.pdf,,EdmontonLocals.pdf,West
Engineer,Edmundston,TCRC_Transp_Employees_NBET_QET_EN.pdf,,,East
Engineer,Edson,TCRC_Locom_Eng_West_Agreement_1-2_EN.pdf,,,West
Engineer,Fort Frances,TCRC_Locom_Eng_West_Agreement_1-2_EN.pdf,,,East
Engineer,Fort St. John,TCRC_Locom_Eng_BCRail_Agreement_EN.pdf,,BCRLocals.pdf,West
Engineer,Garneau,TCRC_Locom_Eng_East_Agreement_1-1_EN.pdf,,GarneauLocals.pdf,East
Engineer,Garneau (NQ),TCRC_Locom_Eng_NQT_EN.pdf,,,East
Engineer,Grande Cache,UNIFOR_SAR_Agreement_EN.pdf,,,West
Engineer,Grande Prairie,UNIFOR_SAR_Agreement_EN.pdf,,,West
Engineer,Halifax,TCRC_Locom_Eng_East_Agreement_1-1_EN.pdf,,,East
Engineer,High Level,TCRC_Locom_Eng_West_Agreement_1-2_EN.pdf,,,West
Engineer,Hornepayne,TCRC_Locom_Eng_East_Agreement_1-1_EN.pdf,,,East
Engineer,Humboldt,TCRC_Locom_Eng_West_Agreement_1-2_EN.pdf,,,West
Engineer,Jasper,TCRC_Locom_Eng_West_Agreement_1-2_EN.pdf,,JasperLocals.pdf,West
Engineer,Joffre 10,TCRC_Locom_Eng_East_Agreement_1-1_EN.pdf,,,East
Engineer,Joffre 11,TCRC_Locom_Eng_East_Agreement_1-1_EN.pdf,,,East
Engineer,Kamloops,TCRC_Locom_Eng_West_Agreement_1-2_EN.pdf,,KamloopsLocals.pdf,West
Engineer,Kelowna,KPR_Collective_Agreement_EN.pdf,TCRC_Locom_Eng_West_Agreement_1-2_EN.pdf,,West
Engineer,Kitchener,TCRC_GEXR_Agreement_EN.pdf,,,East
Engineer,Lac La Biche,TCRC_Locom_Eng_West_Agreement_1-2_EN.pdf,,,West
Engineer,London,TCRC_Locom_Eng_East_Agreement_1-1_EN.pdf,,LondonLocals.pdf,East
Engineer,McLennan,TCRC_Locom_Eng_West_Agreement_1-2_EN.pdf,,,West
Engineer,Melville,TCRC_Locom_Eng_West_Agreement_1-2_EN.pdf,,,West
Engineer,Moncton,TCRC_Locom_Eng_East_Agreement_1-1_EN.pdf,,MonctonLocals.pdf,East
